habitat,id1,id2,value
stellar_sea_lion_haulout,53953.0,8017.0,1
stellar_sea_lion_haulout,8017.0,14570.0,1
stellar_sea_lion_haulout,40395.0,8017.0,1
stellar_sea_lion_haulout,108499.0,93269.0,1
stellar_sea_lion_haulout,108499.0,1122.0,1
stellar_sea_lion_haulout,93269.0,106121.0,1
stellar_sea_lion_haulout,1122.0,106121.0,1
stellar_sea_lion_haulout,8887.0,93269.0,1
stellar_sea_lion_haulout,8887.0,1122.0,1
stellar_sea_lion_haulout,32376.0,30103.0,1
stellar_sea_lion_haulout,32376.0,113716.0,1
stellar_sea_lion_haulout,30103.0,25604.0,1
stellar_sea_lion_haulout,30103.0,13115.0,1
stellar_sea_lion_haulout,113716.0,25604.0,1
stellar_sea_lion_haulout,113716.0,13115.0,1
stellar_sea_lion_haulout,59189.0,30103.0,1
stellar_sea_lion_haulout,59189.0,113716.0,1
stellar_sea_lion_haulout,116969.0,30103.0,1
stellar_sea_lion_haulout,116969.0,113716.0,1
stellar_sea_lion_haulout,62044.0,30103.0,1
stellar_sea_lion_haulout,62044.0,113716.0,1
stellar_sea_lion_haulout,101169.0,20944.0,1
stellar_sea_lion_haulout,20944.0,671.0,1
stellar_sea_lion_haulout,58187.0,20944.0,1
stellar_sea_lion_haulout,6913.0,14570.0,1
stellar_sea_lion_haulout,14570.0,671.0,1
stellar_sea_lion_haulout,84190.0,14570.0,1
stellar_sea_lion_haulout,671.0,34186.0,1
stellar_sea_lion_haulout,34186.0,78131.0,1
stellar_sea_lion_haulout,34186.0,8415.0,1
stellar_sea_lion_haulout,34186.0,1296.0,1
stellar_sea_lion_haulout,34186.0,44873.0,1
stellar_sea_lion_haulout,101171.0,6913.0,1
stellar_sea_lion_haulout,32781.0,47770.0,1
stellar_sea_lion_haulout,32781.0,82635.0,1
stellar_sea_lion_haulout,47770.0,80985.0,1
stellar_sea_lion_haulout,82635.0,80985.0,1
stellar_sea_lion_haulout,80985.0,101169.0,1
stellar_sea_lion_haulout,80985.0,58187.0,1
stellar_sea_lion_haulout,47168.0,32376.0,1
stellar_sea_lion_haulout,47168.0,59189.0,1
stellar_sea_lion_haulout,47168.0,116969.0,1
stellar_sea_lion_haulout,47168.0,62044.0,1
stellar_sea_lion_haulout,106121.0,34186.0,1
stellar_sea_lion_haulout,25604.0,20944.0,1
stellar_sea_lion_haulout,13115.0,20944.0,1
stellar_sea_lion_haulout,51706.0,32376.0,1
stellar_sea_lion_haulout,51706.0,59189.0,1
stellar_sea_lion_haulout,51706.0,116969.0,1
stellar_sea_lion_haulout,51706.0,62044.0,1
stellar_sea_lion_haulout,44567.0,30103.0,1
stellar_sea_lion_haulout,44567.0,113716.0,1
stellar_sea_lion_haulout,41440.0,30103.0,1
stellar_sea_lion_haulout,41440.0,113716.0,1
stellar_sea_lion_haulout,105110.0,78131.0,1
stellar_sea_lion_haulout,105110.0,8415.0,1
stellar_sea_lion_haulout,105110.0,1296.0,1
stellar_sea_lion_haulout,105110.0,44873.0,1
