name,value
solver_time,8.764699459075928
total_time,18.915445566177368
obj_value,125.62173549269625
gap_to_opt,0.0274765318575596
total_cost,17408.0
cmd,RSP-Con
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed15-noquality
output,../tests/brandt/congen/05-400x400-15features-seed15-noquality/bc-CON
metric,['bc']
max_cost,17408.0
min_cost,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed15-noquality/probability.csv']
pu_data,
complete_graph,mean
