features,total,target,reached
0,5344895.0,1068979.0,1068988.0
1,7811017.0,1562203.4000000001,1562277.0
2,6311825.0,1262365.0,1262389.0
3,7315869.0,1463173.8,1463193.0
4,7089693.0,1417938.6,1417965.0
5,8095054.0,1619010.8,1619032.0
6,7792017.0,1558403.4000000001,1558415.0
7,8131911.0,1626382.2000000002,1626384.0
8,7935236.0,1587047.2000000002,1587109.0
9,8367463.0,1673492.6,1673525.0
10,7164546.0,1432909.2000000002,1432912.0
11,8427796.0,1685559.2000000002,1685564.0
12,7857867.0,1571573.4000000001,1571651.0
13,7279924.0,1455984.8,1455988.0
14,7941203.0,1588240.6,1588277.0
