"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
79,TEURO,315.000000,314.983000,0,347,0,3306597,no,0.999946
78,SYUND,315.000000,670.740000,0,778,0,3306597,yes,1.000000
77,PYRAX,315.000000,652.819000,0,791,0,3306597,yes,1.000000
76,PEAPI,315.000000,546.236000,0,710,0,3306597,yes,1.000000
75,OEURA,315.000000,315.394000,0,341,0,3306597,yes,1.000000
74,NEPER,315.000000,314.994000,0,393,0,3306597,no,0.999981
73,MIMIL,315.000000,315.056000,0,392,0,3306597,yes,1.000000
72,MIMIG,315.000000,389.781000,0,538,0,3306597,yes,1.000000
71,LUARB,315.000000,539.707000,0,676,0,3306597,yes,1.000000
70,LACOL,315.000000,384.345000,0,460,0,3306597,yes,1.000000
69,HIPEN,315.000000,315.077000,0,397,0,3306597,yes,1.000000
68,HIFAS,315.000000,315.156000,0,368,0,3306597,yes,1.000000
67,GYFUL,315.000000,526.617000,0,641,0,3306597,yes,1.000000
66,GYBAR,315.000000,410.576000,0,501,0,3306597,yes,1.000000
65,GATHE,315.000000,385.184000,0,473,0,3306597,yes,1.000000
64,FAPER,315.000000,499.371000,0,649,0,3306597,yes,1.000000
63,EMHOR,315.000000,384.625000,0,461,0,3306597,yes,1.000000
62,DRMAR,315.000000,506.703000,0,606,0,3306597,yes,1.000000
61,CIGAL,315.000000,315.012000,0,434,0,3306597,yes,1.000000
60,CAEUR,315.000000,345.303000,0,481,0,3306597,yes,1.000000
59,BUBUB,315.000000,315.283000,0,418,0,3306597,yes,1.000000
58,AQCHR,315.000000,479.444000,0,602,0,3306597,yes,1.000000
57,ANCAM,315.000000,397.281000,0,490,0,3306597,yes,1.000000
56,TUPHI,315.000000,635.027000,0,757,0,3306597,yes,1.000000
55,TUMER,315.000000,1829.525000,0,2071,0,3306597,yes,1.000000
54,TRTRO,315.000000,1231.983000,0,1481,0,3306597,yes,1.000000
53,SYMEL,315.000000,1053.279000,0,1236,0,3306597,yes,1.000000
52,SYHOR,315.000000,345.621000,0,442,0,3306597,yes,1.000000
51,SYCOM,315.000000,326.652000,0,434,0,3306597,yes,1.000000
50,SYCAN,315.000000,375.053000,0,500,0,3306597,yes,1.000000
49,SYBOR,315.000000,315.434000,0,437,0,3306597,yes,1.000000
48,SYATR,315.000000,1194.582000,0,1430,0,3306597,yes,1.000000
47,STTUR,315.000000,724.424000,0,957,0,3306597,yes,1.000000
46,SIEUR,315.000000,512.328000,0,602,0,3306597,yes,1.000000
45,SESER,315.000000,1205.744000,0,1447,0,3306597,yes,1.000000
44,SATOR,315.000000,656.678000,0,902,0,3306597,yes,1.000000
43,REIGN,315.000000,928.435000,0,1104,0,3306597,yes,1.000000
42,PTRUP,315.000000,404.897000,0,537,0,3306597,yes,1.000000
41,PHOCH,315.000000,818.686000,0,968,0,3306597,yes,1.000000
40,PHITA,315.000000,757.442000,0,911,0,3306597,yes,1.000000
39,PHBON,315.000000,688.649000,0,858,0,3306597,yes,1.000000
38,PEPET,315.000000,407.249000,0,498,0,3306597,yes,1.000000
37,PAMAJ,315.000000,1361.829000,0,1604,0,3306597,yes,1.000000
36,PACRI,315.000000,1114.679000,0,1283,0,3306597,yes,1.000000
35,PACAE,315.000000,1046.070000,0,1279,0,3306597,yes,1.000000
34,PAATE,315.000000,1048.190000,0,1197,0,3306597,yes,1.000000
33,ORORI,315.000000,421.290000,0,597,0,3306597,yes,1.000000
32,OEHIS,315.000000,582.564000,0,672,0,3306597,yes,1.000000
31,MUSTR,315.000000,348.640000,0,472,0,3306597,yes,1.000000
30,MOSOL,315.000000,575.470000,0,683,0,3306597,yes,1.000000
29,MOSAX,315.000000,315.209000,0,382,0,3306597,yes,1.000000
28,MOCIN,315.000000,315.016000,0,437,0,3306597,yes,1.000000
27,MOALB,315.000000,470.775000,0,598,0,3306597,yes,1.000000
26,MEAPI,315.000000,617.137000,0,763,0,3306597,yes,1.000000
25,LUMEG,315.000000,906.229000,0,1121,0,3306597,yes,1.000000
24,LOCUR,315.000000,465.614000,0,545,0,3306597,yes,1.000000
23,LASEN,315.000000,584.745000,0,705,0,3306597,yes,1.000000
22,JYTOR,315.000000,315.067000,0,429,0,3306597,yes,1.000000
21,HIDAU,315.000000,315.252000,0,380,0,3306597,yes,1.000000
20,GAGLA,315.000000,1256.907000,0,1507,0,3306597,yes,1.000000
19,FRCOE,315.000000,1569.197000,0,1732,0,3306597,yes,1.000000
18,ERRUB,315.000000,1622.956000,0,1815,0,3306597,yes,1.000000
17,EMCIR,315.000000,1073.164000,0,1282,0,3306597,yes,1.000000
16,EMCIA,315.000000,749.284000,0,877,0,3306597,yes,1.000000
15,DEURB,315.000000,314.938000,0,462,0,3306597,no,0.999803
14,DEMAJ,315.000000,734.672000,0,850,0,3306597,yes,1.000000
13,CORAX,315.000000,410.872000,0,574,0,3306597,yes,1.000000
12,COPAL,315.000000,1221.177000,0,1492,0,3306597,yes,1.000000
11,COOEN,315.000000,342.162000,0,464,0,3306597,yes,1.000000
10,CEBRA,315.000000,787.752000,0,987,0,3306597,yes,1.000000
9,CAINA,315.000000,851.077000,0,1037,0,3306597,yes,1.000000
8,CACAR,315.000000,1231.740000,0,1481,0,3306597,yes,1.000000
7,BUBUT,315.000000,315.110000,0,468,0,3306597,yes,1.000000
6,APMEL,315.000000,337.679000,0,468,0,3306597,yes,1.000000
5,ANTRI,315.000000,548.960000,0,684,0,3306597,yes,1.000000
4,ALRUF,315.000000,531.647000,0,664,0,3306597,yes,1.000000
3,AECAU,315.000000,648.681000,0,797,0,3306597,yes,1.000000
2,ACNIS,315.000000,315.432000,0,454,0,3306597,yes,1.000000
1,ACGEN,315.000000,315.000000,0,419,0,3306597,yes,1.000000
