"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
79,TEURO,315.000000,315.273000,0,347,0,3306597,yes,1.000000
78,SYUND,315.000000,654.674000,0,762,0,3306597,yes,1.000000
77,PYRAX,315.000000,637.815000,0,769,0,3306597,yes,1.000000
76,PEAPI,315.000000,532.266000,0,691,0,3306597,yes,1.000000
75,OEURA,315.000000,315.244000,0,338,0,3306597,yes,1.000000
74,NEPER,315.000000,315.078000,0,392,0,3306597,yes,1.000000
73,MIMIL,315.000000,315.006000,0,394,0,3306597,yes,1.000000
72,MIMIG,315.000000,383.398000,0,531,0,3306597,yes,1.000000
71,LUARB,315.000000,548.916000,0,687,0,3306597,yes,1.000000
70,LACOL,315.000000,359.698000,0,432,0,3306597,yes,1.000000
69,HIPEN,315.000000,315.264000,0,396,0,3306597,yes,1.000000
68,HIFAS,315.000000,315.002000,0,368,0,3306597,yes,1.000000
67,GYFUL,315.000000,517.144000,0,629,0,3306597,yes,1.000000
66,GYBAR,315.000000,411.818000,0,502,0,3306597,yes,1.000000
65,GATHE,315.000000,382.385000,0,474,0,3306597,yes,1.000000
64,FAPER,315.000000,483.524000,0,625,0,3306597,yes,1.000000
63,EMHOR,315.000000,361.109000,0,435,0,3306597,yes,1.000000
62,DRMAR,315.000000,515.274000,0,617,0,3306597,yes,1.000000
61,CIGAL,315.000000,315.146000,0,437,0,3306597,yes,1.000000
60,CAEUR,315.000000,353.681000,0,492,0,3306597,yes,1.000000
59,BUBUB,315.000000,315.366000,0,418,0,3306597,yes,1.000000
58,AQCHR,315.000000,489.846000,0,610,0,3306597,yes,1.000000
57,ANCAM,315.000000,371.782000,0,455,0,3306597,yes,1.000000
56,TUPHI,315.000000,604.819000,0,719,0,3306597,yes,1.000000
55,TUMER,315.000000,1807.490000,0,2042,0,3306597,yes,1.000000
54,TRTRO,315.000000,1226.368000,0,1478,0,3306597,yes,1.000000
53,SYMEL,315.000000,1033.064000,0,1210,0,3306597,yes,1.000000
52,SYHOR,315.000000,332.550000,0,424,0,3306597,yes,1.000000
51,SYCOM,315.000000,327.054000,0,431,0,3306597,yes,1.000000
50,SYCAN,315.000000,375.842000,0,498,0,3306597,yes,1.000000
49,SYBOR,315.000000,315.109000,0,439,0,3306597,yes,1.000000
48,SYATR,315.000000,1159.949000,0,1384,0,3306597,yes,1.000000
47,STTUR,315.000000,728.239000,0,962,0,3306597,yes,1.000000
46,SIEUR,315.000000,509.851000,0,599,0,3306597,yes,1.000000
45,SESER,315.000000,1207.073000,0,1445,0,3306597,yes,1.000000
44,SATOR,315.000000,634.456000,0,867,0,3306597,yes,1.000000
43,REIGN,315.000000,915.801000,0,1093,0,3306597,yes,1.000000
42,PTRUP,315.000000,417.044000,0,553,0,3306597,yes,1.000000
41,PHOCH,315.000000,763.036000,0,898,0,3306597,yes,1.000000
40,PHITA,315.000000,738.727000,0,887,0,3306597,yes,1.000000
39,PHBON,315.000000,706.800000,0,880,0,3306597,yes,1.000000
38,PEPET,315.000000,406.737000,0,498,0,3306597,yes,1.000000
37,PAMAJ,315.000000,1380.487000,0,1623,0,3306597,yes,1.000000
36,PACRI,315.000000,1145.820000,0,1319,0,3306597,yes,1.000000
35,PACAE,315.000000,1025.072000,0,1252,0,3306597,yes,1.000000
34,PAATE,315.000000,1066.360000,0,1221,0,3306597,yes,1.000000
33,ORORI,315.000000,431.880000,0,609,0,3306597,yes,1.000000
32,OEHIS,315.000000,576.038000,0,666,0,3306597,yes,1.000000
31,MUSTR,315.000000,324.747000,0,437,0,3306597,yes,1.000000
30,MOSOL,315.000000,547.949000,0,653,0,3306597,yes,1.000000
29,MOSAX,315.000000,315.054000,0,384,0,3306597,yes,1.000000
28,MOCIN,315.000000,314.993000,0,435,0,3306597,no,0.999978
27,MOALB,315.000000,463.354000,0,588,0,3306597,yes,1.000000
26,MEAPI,315.000000,620.069000,0,768,0,3306597,yes,1.000000
25,LUMEG,315.000000,891.603000,0,1100,0,3306597,yes,1.000000
24,LOCUR,315.000000,494.885000,0,584,0,3306597,yes,1.000000
23,LASEN,315.000000,558.676000,0,670,0,3306597,yes,1.000000
22,JYTOR,315.000000,314.951000,0,426,0,3306597,no,0.999844
21,HIDAU,315.000000,315.038000,0,382,0,3306597,yes,1.000000
20,GAGLA,315.000000,1238.355000,0,1483,0,3306597,yes,1.000000
19,FRCOE,315.000000,1538.266000,0,1691,0,3306597,yes,1.000000
18,ERRUB,315.000000,1619.514000,0,1810,0,3306597,yes,1.000000
17,EMCIR,315.000000,1076.278000,0,1276,0,3306597,yes,1.000000
16,EMCIA,315.000000,715.137000,0,835,0,3306597,yes,1.000000
15,DEURB,315.000000,314.983000,0,464,0,3306597,no,0.999946
14,DEMAJ,315.000000,733.957000,0,851,0,3306597,yes,1.000000
13,CORAX,315.000000,402.509000,0,564,0,3306597,yes,1.000000
12,COPAL,315.000000,1225.742000,0,1496,0,3306597,yes,1.000000
11,COOEN,315.000000,350.915000,0,471,0,3306597,yes,1.000000
10,CEBRA,315.000000,814.047000,0,1016,0,3306597,yes,1.000000
9,CAINA,315.000000,823.864000,0,1008,0,3306597,yes,1.000000
8,CACAR,315.000000,1225.605000,0,1471,0,3306597,yes,1.000000
7,BUBUT,315.000000,315.015000,0,468,0,3306597,yes,1.000000
6,APMEL,315.000000,324.733000,0,453,0,3306597,yes,1.000000
5,ANTRI,315.000000,564.208000,0,706,0,3306597,yes,1.000000
4,ALRUF,315.000000,516.726000,0,644,0,3306597,yes,1.000000
3,AECAU,315.000000,664.177000,0,819,0,3306597,yes,1.000000
2,ACNIS,315.000000,315.332000,0,454,0,3306597,yes,1.000000
1,ACGEN,315.000000,315.053000,0,417,0,3306597,yes,1.000000
