name,value
solver_time,3.5275206565856934
total_time,13.84059453010559
obj_value,18200.0
gap_to_opt,0.001043956043956044
total_cost,18200.0
cmd,RSP-CF
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed0
output,../tests/brandt/congen/01-400x400-15features-seed0/bc-cf
metric,['bc']
metric_prop,0.2
metric_target,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed0/probability.csv']
pu_data,
complete_graph,mean
