name,value
solver_time,3.6298534870147705
total_time,13.99854850769043
obj_value,18216.0
gap_to_opt,0.0009332454984628898
total_cost,18216.0
cmd,RSP-CF
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed0-edgeprobability25-noquality
output,../tests/brandt/congen/02-400x400-15features-seed0-edgeprobability25-noquality/bc-cf
metric,['bc']
metric_prop,0.2
metric_target,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed0-edgeprobability25-noquality/resistance.csv']
pu_data,
complete_graph,
