name,value
solver_time,3.645359992980957
total_time,13.677642107009888
obj_value,18109.24383767878
gap_to_opt,0.0010788481242468932
total_cost,18247.0
cmd,RSP-CC
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed0
output,../tests/brandt/congen/01-400x400-15features-seed0/bc-CC
metric,['bc']
metric_weight,1.0
cost_weight,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed0/probability.csv']
pu_data,
complete_graph,mean
