name,value
solver_time,18.761301279067993
total_time,34.27329683303833
obj_value,613.8737790281805
gap_to_opt,0.01685261820983912
total_cost,18222.0
cmd,RSP-Con
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed0-edgeprobability50-noquality
output,../tests/brandt/congen/03-400x400-15features-seed0-edgeprobability50-noquality/bc-CON
metric,['bc']
max_cost,18222.0
min_cost,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed0-edgeprobability50-noquality/resistance.csv']
pu_data,
complete_graph,
