features,total,target,reached
1,846.0,211.5,212.0
2,10.0,2.5,3.0
3,38.0,9.5,10.0
4,804.0,201.0,201.0
17,14.0,3.5,4.0
19,369.0,92.25,93.0
20,402.0,100.5,101.0
