name,value
solver_time,95.40945219993591
total_time,124.71379685401917
obj_value,17910.331426866676
gap_to_opt,0.0012064819843824752
total_cost,18514.0
cmd,RSP-CC
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed0
output,../tests/brandt/congen/01-400x400-15features-seed0/ec-CC
metric,['ec']
metric_weight,0.5
cost_weight,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed0/probability.csv']
pu_data,../../pa-lukas-rose/results/400x400-15features-seed0/quality.csv
complete_graph,
