con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,ec,1372544.0413763598,0.9639988838696888,8719.816157822079,0.9639988838696888,8719.816157822079,0,9612.393972685455,267.0109436857071
0,bc,4099.0,0.0,196.44540443873476,0.0,196.44540443873476,0,407.24901969308905,45.24989107700989
1,ec,1342101.6566107175,17.03886285636306,9596.481139062378,17.03886285636306,9596.481139062378,0,46098.587710682834,384.1548975890236
1,bc,3995.9999999999995,0.0,191.47758500601375,0.0,191.47758500601375,0,785.0035375394109,49.06272109621318
2,ec,1384630.8720015613,9.607372098472965,7556.094603302767,9.607372098472965,7556.094603302767,0,4148.6382401653045,197.55420191263354
2,bc,3774.0,0.0,213.34828760708365,0.0,213.34828760708365,0,191.59937410814885,27.371339158306977
3,ec,1372081.9017138097,13.052781867914083,6308.569024327415,13.052781867914083,6308.569024327415,0,934514.2292711936,365.6158956460069
3,bc,4252.0,0.0,232.23797905573147,0.0,232.23797905573147,0,3408.2922460620875,47.33739230641788
4,ec,1399282.8266319502,3.4586563791958698,6970.087450381902,3.4586563791958698,6970.087450381902,0,1208297.5916126221,330.5875763646025
4,bc,4231.0,0.0,184.15643387081138,0.0,184.15643387081138,0,3823.6191185410066,44.460687424895426
5,ec,1394064.7921029623,11.425572207704393,10506.57831508809,11.425572207704393,10506.57831508809,0,8612.788954771684,410.1328073700802
5,bc,4043.0000000000005,0.0,152.85038980385966,0.0,152.85038980385966,0,224.65529575821677,32.09361367974525
6,ec,1356451.6754074777,20.644274827297803,8001.427940135004,20.644274827297803,8001.427940135004,0,19332.393637187506,292.9150551089016
6,bc,4177.999999999999,0.0,197.91685266922067,0.0,197.91685266922067,0,601.4464270420718,50.12053558683932
7,ec,1419897.2093322212,0.0,8438.443931099186,0.0,8438.443931099186,0,5847.191911022495,278.43771004869023
7,bc,4100.0,0.0,220.48045787454436,0.0,220.48045787454436,0,177.0897577473989,25.298536821056985
8,ec,1388184.5485410057,0.24659258583740198,5961.244119466513,0.24659258583740198,5961.244119466513,0,1068520.6978168346,338.1394613344413
8,bc,3862.0,0.0,205.01587092808268,0.0,205.01587092808268,0,3251.134509863853,40.639181373298165
9,ec,1460515.4037206406,17.422221681342773,9995.505911532127,17.422221681342773,9995.505911532127,0,12295.312241363048,341.5364511489736
9,bc,3907.0,0.0,198.44496720662843,0.0,198.44496720662843,0,294.7971246296653,32.75523606996281
10,ec,1394394.8023281032,20.736464765454752,11342.70448627103,20.736464765454752,11342.70448627103,0,11382.078532489591,252.9350784997687
10,bc,4162.000000000001,0.0,183.0175830809954,0.0,183.0175830809954,0,404.7614196682329,40.47614196682329
11,ec,1344189.1961796973,11.0323335651983,6546.986239502354,11.0323335651983,6546.986239502354,0,17372.102835138838,482.55841208718994
11,bc,4008.0,0.0,175.35955798640646,0.0,175.35955798640646,0,387.013378334792,43.00148648164355
12,ec,1425531.7063938319,0.7671765041150219,11184.786331380488,0.7671765041150219,11184.786331380488,0,19855.089263916394,551.530257331011
12,bc,3803.0000000000005,0.0,158.17422802746728,0.0,158.17422802746728,0,561.6129203206144,62.40143559117938
13,ec,1375630.586469498,9.133668469498392,4693.678860148522,9.133668469498392,4693.678860148522,0,1266208.1679681605,309.20834382616863
13,bc,3889.0000000000005,0.0,204.14130130575714,0.0,204.14130130575714,0,3737.3360756508237,41.06962720495411
14,ec,1415360.7045870626,0.48075014312854986,6673.603632503211,0.48075014312854986,6673.603632503211,0,2805.379937195587,280.5379937195587
14,bc,4370.000000000001,0.0,190.54719707061835,0.0,190.54719707061835,0,162.55426682174814,32.51085336434963
