name,value
solver_time,41.64594626426697
total_time,206.27162265777588
obj_value,2041.875722911334
gap_to_opt,0.01740598595168011
total_cost,26432.0
cmd,RSP-Con
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/1000x1000-30features-seed0-binary
output,../tests/brandt/congen/10-1000x1000-30features-seed0-binary/ec-CON
metric,['ec']
max_cost,26432.0
min_cost,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/1000x1000-30features-seed0-binary/probability.csv']
pu_data,../../pa-lukas-rose/results/1000x1000-30features-seed0-binary/quality.csv
complete_graph,
