name,value
solver_time,1.4956746101379395
total_time,48.53258943557739
obj_value,52531.0
gap_to_opt,0.0009708553044868744
total_cost,52531.0
cmd,RSP-CF
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/1000x1000-70features-seed0-binary
output,../tests/brandt/congen/12-1000x1000-70features-seed0-binary/bc-cf
metric,['bc']
metric_prop,0.2
metric_target,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/1000x1000-70features-seed0-binary/probability.csv']
pu_data,
complete_graph,mean
