data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
1,ec,45655.1327735632,0.0002387774594078,1024.0,0.0002387774594078,1024.0,0,43211.49245258017,0.4915312181793176
1,betcent,1328176.9999999998,0.0,38472.55624251752,0.0,38472.55624251752,0,1177044.7119901755,3963.113508384429
2,ec,1.2490090743946443,0.0013736263736263,0.5,0.0013736263736263,0.5,0,0.217638082338636,0.010881904116931799
2,betcent,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,ec,22563215.169473268,0.0024213075060532,1024.0,0.0024213075060532,1024.0,0,16011687.417925168,68.77695342012305
3,betcent,56708.0,0.0,1374.6011249387304,0.0,1374.6011249387304,0,22867.94566379131,47.54250657752871
4,ec,6958.8201398516385,0.0009066183136899,1024.0,0.0009066183136899,1024.0,0,2114.3541844408887,37.75632472215873
4,betcent,61.99999999999999,0.0,16.5,0.0,16.5,0,16.833333333333336,2.805555555555556
17,ec,2.3527206654788047,0.000209775540172,0.2689075630252096,0.000209775540172,0.2689075630252096,0,1.0505050002018343,0.052525250010091715
17,betcent,20.0,0.0,6.666666666666666,0.0,6.666666666666666,0,15.499999999999998,3.8749999999999996
19,ec,4874.003320814763,0.007582938388624,2.0,0.007582938388624,2.0,0,2541.0220918752566,0.051792060899988925
19,betcent,158566.00000000003,0.0,27106.050746590063,0.0,27106.050746590063,0,143529.9883653745,646.5314791233086
20,ec,19459.301250987628,0.0013373453694416,2.0,0.0013373453694416,2.0,0,8049.950125044737,0.20024751554837655
20,betcent,32738.0,0.0,1547.6434688802444,0.0,1547.6434688802444,0,31229.15249484188,155.36891788478547
