data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
1,ec,45655.1327735632,0.0002387774594078,1024.0,0.0002387774594078,1024.0,0,43516.312339912605,0.49499854786505376
2,ec,1.2490090743946443,0.0013736263736263,0.5,0.0013736263736263,0.5,0,0.1129791453151882,0.00564895726575941
3,ec,22563215.169473268,0.0024213075060532,1024.0,0.0024213075060532,1024.0,0,17672930.547795944,69.16186180799102
4,ec,6958.8201398516385,0.0009066183136899,1024.0,0.0009066183136899,1024.0,0,3.177750018816923,0.0567455360503022
17,ec,2.3527206654788047,0.000209775540172,0.2689075630252096,0.000209775540172,0.2689075630252096,0,0.5932445767663725,0.02966222883831863
19,ec,4874.003320814763,0.007582938388624,2.0,0.007582938388624,2.0,0,2586.1294107986087,0.05271145511390911
20,ec,19459.301250987628,0.0013373453694416,2.0,0.0013373453694416,2.0,0,6494.207123290515,0.1615474408778735
