name,value
solver_time,3782.7919833660126
total_time,3811.5512092113495
obj_value,770.2891816767652
gap_to_opt,0.007715189929145521
total_cost,18304.0
cmd,RSP-Con
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed0
output,../tests/brandt/congen/01-400x400-15features-seed0/ec-CON
metric,['ec']
max_cost,18304.0
min_cost,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed0/probability.csv']
pu_data,../../pa-lukas-rose/results/400x400-15features-seed0/quality.csv
complete_graph,
