data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
1,betcent,1328176.9999999998,0.0,38472.55624251752,0.0,38472.55624251752,0,1205641.0180059941,4059.397367023549
2,betcent,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,betcent,56708.0,0.0,1374.6011249387304,0.0,1374.6011249387304,0,55652.4646282402,115.70158966370104
4,betcent,61.99999999999999,0.0,16.5,0.0,16.5,0,38.5,6.416666666666667
17,betcent,20.0,0.0,6.666666666666666,0.0,6.666666666666666,0,18.5,4.625
19,betcent,158566.00000000003,0.0,27106.050746590063,0.0,27106.050746590063,0,150307.69451685637,677.0616870128665
20,betcent,32738.0,0.0,1547.6434688802444,0.0,1547.6434688802444,0,31887.82047010437,158.64587298559388
