id,cost,status,xloc,yloc,pu_val
0,1,0,147.649275839782,-19.813299483964,0
1,1,0,147.790251187637,-19.8148858803052,0
2,1,0,147.931229491306,-19.8163515555442,0
3,1,0,148.072210517042,-19.817696506094,0
4,1,0,148.213194031068,-19.818920728662697,0
5,1,0,148.35417979958402,-19.820024220253803,0
6,1,0,147.580360315702,-19.697658844757,0
7,1,0,147.721223024943,-19.6993043236153,0
8,1,0,147.862088799604,-19.700829176835,0
9,1,0,148.002957406502,-19.7022334006898,0
10,1,0,148.143828612428,-19.703516991748103,0
11,1,0,148.284702184146,-19.7046799468728,0
12,1,0,148.425577888395,-19.7057222632218,0
13,1,0,147.511554124134,-19.581987890428604,0
14,1,0,147.652304318859,-19.583692359222,0
15,1,0,147.793057688074,-19.5852762977654,0
16,1,0,147.93381399916,-19.5867397021941,0
17,1,0,148.074573019473,-19.5880825689371,0
18,1,0,148.215334516339,-19.589304894717603,0
19,1,0,148.35609825706,-19.5904066765527,0
20,1,0,147.16159220080098,-19.4623986757554,0
21,1,0,147.302222742998,-19.4644028987689,0
22,1,0,147.442857032227,-19.4662866957308,0
23,1,0,147.583494836502,-19.468050062052,0
24,1,0,147.72413592380198,-19.4696929934367,0
25,1,0,147.864780062074,-19.4712154858823,0
26,1,0,148.005427019235,-19.4726175356794,0
27,1,0,148.146076563173,-19.4738991394119,0
28,1,0,148.286728461752,-19.4750602939572,0
29,1,0,148.427382482812,-19.47610099648589,0
30,1,0,146.952714854693,-19.3443668280023,0
31,1,0,147.09322883086202,-19.346549990949,0
32,1,0,147.233746892323,-19.348612828372,0
33,1,0,147.374268807693,-19.3505553352538,0
34,1,0,147.51479434555,-19.3523775068698,0
35,1,0,147.655323274437,-19.3540793387876,0
36,1,0,147.795855362864,-19.3556608268674,0
37,1,0,147.93639037930902,-19.3571219672619,0
38,1,0,148.07692809222004,-19.358462756416603,0
39,1,0,148.217468270021,-19.3596831910694,0
40,1,0,148.35801068110902,-19.3607832682512,0
41,1,0,146.603782799199,-19.2235859612388,0
42,1,0,146.744175239453,-19.226067994409,0
43,1,0,146.884572332297,-19.2284298088021,0
44,1,0,147.024973846996,-19.2306713986832,0
45,1,0,147.165379552774,-19.2327927586088,0
46,1,0,147.305789218811,-19.2347938834274,0
47,1,0,147.446202614249,-19.236674768279,0
48,1,0,147.586619508193,-19.2384354085953,0
49,1,0,147.727039669713,-19.2400758001001,0
50,1,0,147.86746286785,-19.2415959388089,0
51,1,0,148.007888871609,-19.2429958210292,0
52,1,0,148.148317449974,-19.2442754433604,0
53,1,0,148.288748371897,-19.245434802694103,0
54,1,0,148.429181406312,-19.2464738962138,0
55,1,0,146.395698383025,-19.104842522674502,0
56,1,0,146.53597329166402,-19.1075028166047,0
57,1,0,146.676253187149,-19.110042993672604,0
58,1,0,146.816537839358,-19.1124630477201,0
59,1,0,146.956827018123,-19.1147629728798,0
60,1,0,147.09712049323,-19.1169427635751,0
61,1,0,147.237418034422,-19.1190024145208,0
62,1,0,147.377719411404,-19.1209419207221,0
63,1,0,147.518024393841,-19.1227612774758,0
64,1,0,147.65833275136498,-19.1244604803697,0
65,1,0,147.798644253572,-19.1260395252827,0
66,1,0,147.93895867003,-19.1274984083852,0
67,1,0,148.079275770275,-19.1288371261385,0
68,1,0,148.21959532381902,-19.1300556752956,0
69,1,0,148.35991710014798,-19.13115405290069,0
70,1,0,146.32810894322398,-18.9886719357151,0
71,1,0,146.46827133057,-18.9913901864084,0
72,1,0,146.608438807816,-18.9939884160484,0
73,1,0,146.74861114540198,-18.996466618346,0
74,1,0,146.88878811372498,-18.9988247873019,0
75,1,0,147.028969483132,-19.0010629172072,0
76,1,0,147.16915502393,-19.003181002643306,0
77,1,0,147.309344506383,-19.0051790384817,0
78,1,0,147.449537700717,-19.0070570198846,0
79,1,0,147.589734377121,-19.0088149423045,0
80,1,0,147.72993430575002,-19.010452801484497,0
81,1,0,147.87013725672702,-19.0119705934582,0
82,1,0,148.010343000146,-19.0133683145498,0
83,1,0,148.150551306072,-19.0146459613742,0
84,1,0,148.290761944546,-19.0158035308371,0
85,1,0,148.430974685585,-19.01684102013461,0
86,1,0,146.260626693054,-18.872472027352,0
87,1,0,146.400676686103,-18.875248143735305,0
88,1,0,146.54073187159,-18.8779043347951,0
89,1,0,146.68079202051902,-18.8804405941115,0
90,1,0,146.820856903848,-18.882856915554303,0
91,1,0,146.960926292486,-18.88515329328261,0
92,1,0,147.1009999573,-18.8873297217452,0
93,1,0,147.241077669114,-18.8893861956807,0
94,1,0,147.381159198712,-18.8913227101171,0
95,1,0,147.52124431683995,-18.8931392603725,0
96,1,0,147.661332794211,-18.8948358420544,0
97,1,0,147.801424401502,-18.8964124510608,0
98,1,0,147.941518909362,-18.897869083579,0
99,1,0,148.081616088409,-18.8992057360867,0
100,1,0,148.221715709237,-18.9004224053514,0
101,1,0,148.361817542415,-18.9015190884308,0
102,1,0,146.333189129012,-18.7590767615142,1
103,1,0,146.47313214917102,-18.7617908230139,0
104,1,0,146.61308023536,-18.7643850482906,0
105,1,0,146.753033159098,-18.7668594310834,0
106,1,0,146.892990691855,-18.7692139654202,0
107,1,0,147.032952605056,-18.771448645618104,0
108,1,0,147.17291867008302,-18.7735634662828,0
109,1,0,147.312888658276,-18.775558422309302,0
110,1,0,147.45286234094,-18.7774335088815,0
111,1,0,147.592839489341,-18.7791887214725,0
112,1,0,147.73281987471202,-18.7808240558446,0
113,1,0,147.872803268252,-18.7823395080495,0
114,1,0,148.012789441135,-18.783735074428,0
115,1,0,148.152778164504,-18.7850107516103,0
116,1,0,148.292769209477,-18.786166536516102,0
117,1,0,148.432762347153,-18.7872024263542,0
118,1,0,146.265808430606,-18.6428761125178,0
119,1,0,146.405639411819,-18.64564795365,1
120,1,0,146.545475561139,-18.6483000540005,1
121,1,0,146.68531665064398,-18.6508324071786,0
122,1,0,146.825162452364,-18.6532450070816,0
123,1,0,146.96501273828002,-18.6555378478952,0
124,1,0,147.104867280332,-18.6577109240933,0
125,1,0,147.244725850417,-18.6597642304381,0
126,1,0,147.384588220393,-18.6616977619802,0
127,1,0,147.52445416208,-18.6635115140588,0
128,1,0,147.664323447264,-18.6652054823015,0
129,1,0,147.804195847698,-18.6667796626244,0
