FID,BIORE_102,BIORE_103,BIORE_114,BIORE_116,BIORE_117,BIORE_118,BIORE_119,BIORE_121,BIORE_13,BIORE_132,BIORE_142,BIORE_147,BIORE_15,BIORE_16,BIORE_23,BIORE_26,BIORE_27,BIORE_29,BIORE_3,BIORE_4,geometry
18.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16491462.48001252 -2219849.648130972, 16499334.825325154 -2215399.7255655606, 16507127.994622326 -2219986.8866533074, 16507052.80659997 -2229030.7572596176, 16499176.223640217 -2233487.339081489, 16491379.066481065 -2228893.382543846, 16491462.48001252 -2219849.648130972))"
19.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16507127.994622326 -2219986.8866533074, 16514996.351879751 -2215529.7819776163, 16522793.745877769 -2220109.8896196126, 16522726.783737503 -2229153.8822971224, 16514854.201599602 -2233617.6537590814, 16507052.80659997 -2229030.7572596176, 16507127.994622326 -2219986.8866533074))"
20.0,,,,,,,,,,,,17455806.9546984,,,,,,,,,"POLYGON ((16374198.623767477 -2204811.1646567546, 16382094.19082186 -2200418.277127111, 16389849.222704975 -2205054.783241271, 16389712.57054057 -2214090.983483474, 16381812.67777304 -2218490.4452323727, 16374053.763115354 -2213847.124066275, 16374198.623767477 -2204811.1646567546))"
21.0,,,,,,,,,,,,21646436.5207734,,,,,,,,,"POLYGON ((16389849.222704975 -2205054.783241271, 16397740.90663985 -2200654.6751970025, 16405500.251332771 -2205284.1937679052, 16405371.808332656 -2214320.620813858, 16397475.81125657 -2218727.3109403234, 16389712.57054057 -2214090.983483474, 16389849.222704975 -2205054.783241271))"
22.0,,,,,,,,,,,,35248463.2435654,,,,,,,,,"POLYGON ((16405500.251332771 -2205284.1937679052, 16413388.038919928 -2200876.87166498, 16421151.683848653 -2205499.3951684143, 16421031.450648794 -2214536.0349851297, 16413139.362514732 -2218949.9469843386, 16405371.808332656 -2214320.620813858, 16405500.251332771 -2205284.1937679052))"
23.0,,,,,,,,,,,,141508968.252377,,,,,,,,,"POLYGON ((16421151.683848653 -2205499.3951684143, 16429035.561878113 -2201084.8654977563, 16436803.494446395 -2205700.3864405784, 16436691.471642148 -2214737.2249912624, 16428803.305682328 -2219158.352323274, 16421031.450648794 -2214536.0349851297, 16421151.683848653 -2205499.3951684143))"
24.0,,,,,,,,,,,,1754350.25191392,,,,,,,,,"POLYGON ((16436803.494446395 -2205700.3864405784, 16444683.449726563 -2201278.6557279816, 16452455.65731604 -2205887.166648249, 16452351.845462138 -2214924.189892549, 16444467.614890277 -2219352.5259824214, 16436691.471642151 -2214737.2249912624, 16436803.494446395 -2205700.3864405784))"
25.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16452455.65731604 -2205887.166648249, 16460331.676673828 -2201458.241454262, 16468108.146644145 -2206059.7349213595, 16468012.546254676 -2215096.9288156256, 16460132.264265867 -2219532.467053523, 16452351.845462138 -2214924.189892549, 16452455.65731604 -2205887.166648249))"
26.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16468108.146644145 -2206059.7349213595, 16475980.216925103 -2201623.6218411713, 16483760.93661403 -2206218.0904559693, 16483673.548162451 -2215255.4409534982, 16475797.227933014 -2219698.174694795, 16468012.546254676 -2215096.9288156256, 16468108.146644145 -2206059.7349213595))"
27.0,,,,,,,,,,,,,,,,,9189314.51990268,,,,"POLYGON ((16483760.93661403 -2206218.0904559693, 16491629.044682477 -2201774.7961192913, 16499414.001406038 -2206362.2325142776, 16499334.825325154 -2215399.7255655606, 16491462.48001252 -2219849.648130972, 16483673.548162451 -2215255.4409534982, 16483760.93661403 -2206218.0904559693))"
28.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16499414.001406038 -2206362.2325142776, 16507278.1341452 -2201911.763585232, 16515067.315197803 -2206492.1604246385, 16514996.351879751 -2215529.7819776163, 16507127.994622326 -2219986.8866533074, 16499334.825325154 -2215399.7255655606, 16499414.001406038 -2206362.2325142776))"
29.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16515067.315197803 -2206492.1604246385, 16522927.459509937 -2202034.523601656, 16530720.85216448 -2206607.8735815994, 16530658.101960747 -2215645.609581918, 16522793.745877769 -2220109.8896196126, 16514996.351879751 -2215529.7819776163, 16515067.315197803 -2206492.1604246385))"
30.0,,,,,,,,,,,,17578132.3531318,,,,,,,,,"POLYGON ((16350959.036721991 -2190873.566059604, 16358854.136133386 -2186494.4409736106, 16366596.647774367 -2191138.103381773, 16366447.917245813 -2200167.6785544613, 16358548.48031825 -2204553.339148612, 16350802.111687198 -2199902.88064409, 16350959.036721991 -2190873.566059604))"
31.0,,,,,,,67295551.7434232,,,,,49784149.3423198,,,,,,,,,"POLYGON ((16366596.647774367 -2191138.103381773, 16374487.889821507 -2186751.7592574623, 16382234.726109032 -2191388.4553200873, 16382094.19082186 -2200418.277127111, 16374198.623767477 -2204811.1646567546, 16366447.917245815 -2200167.6785544613, 16366596.647774367 -2191138.103381773))"
32.0,,,,,,,161475533.674425,,,,,25688034.000727,,,,,,,,,"POLYGON ((16382234.726109032 -2191388.4553200873, 16390122.097568067 -2186994.898529923, 16397873.245990954 -2191624.620713925, 16397740.90663985 -2200654.6751970025, 16389849.222704975 -2205054.783241271, 16382094.19082186 -2200418.277127111, 16382234.726109032 -2191388.4553200873))"
33.0,,,,,,,43577191.4529019,,,,,136280246.117947,,,,,,,,,"POLYGON ((16397873.245990954 -2191624.620713925, 16405756.733656026 -2187223.8576653097, 16413512.181680752 -2191846.5984682757, 16413388.038919928 -2200876.87166498, 16405500.251332771 -2205284.1937679052, 16397740.90663985 -2200654.6751970025, 16397873.245990954 -2191624.620713925))"
34.0,,,,,,,,,,,,86756540.6376927,,,,,,,,,"POLYGON ((16413512.181680752 -2191846.5984682757, 16421391.772364125 -2187438.6356034433, 16429151.50743493 -2192054.3875537757, 16429035.561878113 -2201084.8654977563, 16421151.683848653 -2205499.3951684143, 16413388.038919928 -2200876.87166498, 16413512.181680752 -2191846.5984682757))"
35.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16429151.50743493 -2192054.3875537757, 16437027.187967116 -2187639.231349683, 16444791.197506137 -2192247.9870067257, 16444683.449726563 -2201278.6557279816, 16436803.494446395 -2205700.3864405784, 16429035.561878113 -2201084.8654977563, 16429151.50743493 -2192054.3875537757))"
36.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16444791.197506137 -2192247.9870067257, 16452662.954736037 -2187825.643974936, 16460431.226143423 -2192427.3959291447, 16460331.676673828 -2201458.241454262, 16452455.65731604 -2205887.166648249, 16444683.449726563 -2201278.6557279816, 16444791.197506137 -2192247.9870067257))"
