name,value
solver_time,14.456440210342407
total_time,95.52483177185059
obj_value,1187.6621480224387
gap_to_opt,0.020612665117682203
total_cost,15848.0
cmd,RSP-Con
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/1000x1000-15features-seed0-binary
output,../tests/brandt/congen/09-1000x1000-15features-seed0-binary/ec-CON
metric,['ec']
max_cost,15848.0
min_cost,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/1000x1000-15features-seed0-binary/probability.csv']
pu_data,../../pa-lukas-rose/results/1000x1000-15features-seed0-binary/quality.csv
complete_graph,
