name,value
solver_time,1.4888708591461182
total_time,48.75176739692688
obj_value,51859.77705193426
gap_to_opt,0.0
total_cost,52911.0
cmd,RSP-CC
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/1000x1000-70features-seed0-binary
output,../tests/brandt/congen/12-1000x1000-70features-seed0-binary/bc-CC
metric,['bc']
metric_weight,1.5
cost_weight,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/1000x1000-70features-seed0-binary/probability.csv']
pu_data,
complete_graph,mean
