name,value
solver_time,3.612576723098755
total_time,13.843647956848145
obj_value,17244.056844173123
gap_to_opt,0.0012897130303571945
total_cost,17514.0
cmd,RSP-CC
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed15-noquality
output,../tests/brandt/congen/05-400x400-15features-seed15-noquality/bc-CC
metric,['bc']
metric_weight,1.0
cost_weight,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed15-noquality/probability.csv']
pu_data,
complete_graph,mean
