name,value
solver_time,166.96730661392212
total_time,420.4442615509033
obj_value,53695.0
gap_to_opt,0.009498091069932024
total_cost,53695.0
cmd,RSP-CF
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/1000x1000-70features-seed0-binary
output,../tests/brandt/congen/1000x1000-70features-seed0-binary/ec-cf
metric,['ec']
metric_prop,0.2
metric_target,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/1000x1000-70features-seed0-binary/probability.csv']
pu_data,../../pa-lukas-rose/results/1000x1000-70features-seed0-binary/quality.csv
complete_graph,
