features,total,target,reached
0,5734575.0,1146915.0,1146953.0
1,7957266.0,1591453.2000000002,1591481.0
2,7805565.0,1561113.0,1561117.0
3,8114375.0,1622875.0,1622880.0
4,8452855.0,1690571.0,1690622.0
5,8134596.0,1626919.2000000002,1626930.0
6,7874153.0,1574830.6,1574842.0
7,8201201.0,1640240.2000000002,1640242.0
8,8253779.0,1650755.8,1650779.0
9,8435179.0,1687035.8,1687040.0
10,7909130.0,1581826.0,1581833.0
11,9633170.0,1926634.0,1926654.0
12,8853912.0,1770782.4000000001,1770790.0
13,8158596.0,1631719.2000000002,1631735.0
14,8123219.0,1624643.8,1624650.0
