con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,18753.0,0.0,1789.4306810816497,0.0,1789.4306810816497,0,5692.792803340317,177.8997751043849
1,bc,9464.0,0.0,342.6952834305725,0.0,342.6952834305725,0,3556.7705986823894,74.09938747254978
2,bc,66264.00000000001,0.0,5244.000000000001,0.0,5244.000000000001,0,14647.184876143701,385.452233582729
3,bc,61482.0,0.0,2701.4193730148445,0.0,2701.4193730148445,0,17423.705495519254,395.9933067163467
4,bc,46960.99999999999,0.0,1965.584293557099,0.0,1965.584293557099,0,25654.724344551178,523.565802950024
5,bc,35687.0,0.0,1338.3333333333328,0.0,1338.3333333333328,0,5946.83268639434,220.25306245904963
6,bc,63.0,0.0,16.066666666666666,0.0,16.066666666666666,0,52.7,8.783333333333333
7,bc,36178.0,0.0,1143.502875252406,0.0,1143.502875252406,0,14389.562680982024,299.7825558537922
8,bc,68107.0,0.0,1773.2110128958077,0.0,1773.2110128958077,0,25749.516634306638,378.66936226921524
9,bc,19487.0,0.0,1015.2828650152386,0.0,1015.2828650152386,0,7098.405951806928,202.8115986230551
10,bc,69706.99999999999,0.0,2032.3324115979283,0.0,2032.3324115979283,0,23715.951883387756,551.5337647299478
11,bc,87306.00000000003,0.0,3738.6137282153286,0.0,3738.6137282153286,0,23355.763448190617,934.2305379276247
12,bc,62262.99999999999,0.0,2189.858866493987,0.0,2189.858866493987,0,18854.343407230343,369.69300798490866
13,bc,11763.0,0.0,447.6824019360867,0.0,447.6824019360867,0,1480.2275288606274,42.292215110303644
14,bc,57150.0,0.0,1919.3148887802656,0.0,1919.3148887802656,0,18473.30954435541,318.50533697164497
