features,total,target,reached
0,5734575.0,1146915.0,1147168.0
1,7957266.0,1591453.2000000002,1591542.0
2,7805565.0,1561113.0,1561161.0
3,8114375.0,1622875.0,1623258.0
4,8452855.0,1690571.0,1691343.0
5,8134596.0,1626919.2000000002,1626922.0
6,7874153.0,1574830.6,1574921.0
7,8201201.0,1640240.2000000002,1640243.0
8,8253779.0,1650755.8,1650771.0
9,8435179.0,1687035.8,1687051.0
10,7909130.0,1581826.0,1581840.0
11,9633170.0,1926634.0,1926694.0
12,8853912.0,1770782.4000000001,1770788.0
13,8158596.0,1631719.2000000002,1631894.0
14,8123219.0,1624643.8,1624690.0
