name,value
solver_time,43.544557332992554
total_time,503.8994970321655
obj_value,51767.83612683086
gap_to_opt,3.254217256958724e-05
total_cost,54446.0
cmd,RSP-CC
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/1000x1000-70features-seed0-binary
output,../tests/brandt/congen/12-1000x1000-70features-seed0-binary/ec-CC
metric,['ec']
metric_weight,0.35
cost_weight,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/1000x1000-70features-seed0-binary/probability.csv']
pu_data,../../pa-lukas-rose/results/1000x1000-70features-seed0-binary/quality.csv
complete_graph,
