name,value
solver_time,3.3989782333374023
total_time,13.479038000106812
obj_value,17408.0
gap_to_opt,0.001321231617647059
total_cost,17408.0
cmd,RSP-CF
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed15-noquality
output,../tests/brandt/congen/05-400x400-15features-seed15-noquality/bc-cf
metric,['bc']
metric_prop,0.2
metric_target,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed15-noquality/probability.csv']
pu_data,
complete_graph,mean
